cohort_week,eligible_users,cohort_age,retained_users,retention
2024-01-01,14,0,14,1.0
2024-01-01,14,1,13,0.9285714285714286
2024-01-01,14,2,13,0.9285714285714286
2024-01-01,14,3,13,0.9285714285714286
2024-01-01,14,4,13,0.9285714285714286
2024-01-01,14,5,13,0.9285714285714286
2024-01-01,14,6,13,0.9285714285714286
2024-01-01,14,7,13,0.9285714285714286
2024-01-01,14,8,13,0.9285714285714286
2024-01-01,14,9,13,0.9285714285714286
2024-01-01,14,10,12,0.8571428571428571
2024-01-01,14,11,10,0.7142857142857143
2024-01-01,14,12,10,0.7142857142857143
2024-01-01,14,13,10,0.7142857142857143
2024-01-01,14,14,10,0.7142857142857143
2024-01-01,14,15,10,0.7142857142857143
2024-01-01,14,16,10,0.7142857142857143
2024-01-01,14,17,10,0.7142857142857143
2024-01-01,14,18,10,0.7142857142857143
2024-01-01,14,19,10,0.7142857142857143
2024-01-01,14,20,10,0.7142857142857143
2024-01-01,14,21,10,0.7142857142857143
2024-01-01,14,22,10,0.7142857142857143
2024-01-01,14,23,10,0.7142857142857143
2024-01-01,14,24,10,0.7142857142857143
2024-01-01,14,25,9,0.6428571428571429
2024-01-01,14,26,9,0.6428571428571429
2024-01-01,14,27,9,0.6428571428571429
2024-01-01,14,28,8,0.5714285714285714
2024-01-01,14,29,8,0.5714285714285714
2024-01-01,14,30,8,0.5714285714285714
2024-01-01,14,31,8,0.5714285714285714
2024-01-01,14,32,8,0.5714285714285714
2024-01-01,14,33,8,0.5714285714285714
2024-01-01,14,34,8,0.5714285714285714
2024-01-01,14,35,8,0.5714285714285714
2024-01-01,14,36,7,0.5
2024-01-01,14,37,6,0.42857142857142855
2024-01-01,14,38,6,0.42857142857142855
2024-01-01,14,39,6,0.42857142857142855
2024-01-01,14,40,6,0.42857142857142855
2024-01-01,14,41,6,0.42857142857142855
2024-01-01,14,42,6,0.42857142857142855
2024-01-01,14,43,6,0.42857142857142855
2024-01-01,14,44,6,0.42857142857142855
2024-01-01,14,45,6,0.42857142857142855
2024-01-01,14,46,6,0.42857142857142855
2024-01-01,14,47,6,0.42857142857142855
2024-01-01,14,48,6,0.42857142857142855
2024-01-01,14,49,6,0.42857142857142855
2024-01-01,14,50,6,0.42857142857142855
2024-01-01,14,51,6,0.42857142857142855
2024-01-01,14,52,6,0.42857142857142855
2024-01-01,14,53,6,0.42857142857142855
2024-01-01,14,54,6,0.42857142857142855
2024-01-01,14,55,6,0.42857142857142855
2024-01-01,14,56,6,0.42857142857142855
2024-01-01,14,57,6,0.42857142857142855
2024-01-01,14,58,6,0.42857142857142855
2024-01-01,14,59,6,0.42857142857142855
2024-01-01,14,60,6,0.42857142857142855
2024-01-08,30,0,30,1.0
2024-01-08,30,1,26,0.8666666666666667
2024-01-08,30,2,25,0.8333333333333334
2024-01-08,30,3,25,0.8333333333333334
2024-01-08,30,4,25,0.8333333333333334
2024-01-08,30,5,25,0.8333333333333334
2024-01-08,30,6,23,0.7666666666666667
2024-01-08,30,7,23,0.7666666666666667
2024-01-08,30,8,23,0.7666666666666667
2024-01-08,30,9,20,0.6666666666666666
2024-01-08,30,10,19,0.6333333333333333
2024-01-08,30,11,18,0.6
2024-01-08,30,12,18,0.6
2024-01-08,30,13,18,0.6
2024-01-08,30,14,16,0.5333333333333333
2024-01-08,30,15,16,0.5333333333333333
2024-01-08,30,16,15,0.5
2024-01-08,30,17,15,0.5
2024-01-08,30,18,13,0.43333333333333335
2024-01-08,30,19,12,0.4
2024-01-08,30,20,12,0.4
2024-01-08,30,21,12,0.4
2024-01-08,30,22,12,0.4
2024-01-08,30,23,12,0.4
2024-01-08,30,24,11,0.36666666666666664
2024-01-08,30,25,10,0.3333333333333333
2024-01-08,30,26,9,0.3
2024-01-08,30,27,8,0.26666666666666666
2024-01-08,30,28,8,0.26666666666666666
2024-01-08,30,29,8,0.26666666666666666
2024-01-08,30,30,8,0.26666666666666666
2024-01-08,30,31,8,0.26666666666666666
2024-01-08,30,32,8,0.26666666666666666
2024-01-08,30,33,8,0.26666666666666666
2024-01-08,30,34,8,0.26666666666666666
2024-01-08,30,35,8,0.26666666666666666
2024-01-08,30,36,8,0.26666666666666666
2024-01-08,30,37,8,0.26666666666666666
2024-01-08,30,38,8,0.26666666666666666
2024-01-08,30,39,8,0.26666666666666666
2024-01-08,30,40,8,0.26666666666666666
2024-01-08,30,41,7,0.23333333333333334
2024-01-08,30,42,7,0.23333333333333334
2024-01-08,30,43,5,0.16666666666666666
2024-01-08,30,44,5,0.16666666666666666
2024-01-08,30,45,5,0.16666666666666666
2024-01-08,30,46,5,0.16666666666666666
2024-01-08,30,47,5,0.16666666666666666
2024-01-08,30,48,5,0.16666666666666666
2024-01-08,30,49,5,0.16666666666666666
2024-01-08,30,50,5,0.16666666666666666
2024-01-08,30,51,5,0.16666666666666666
2024-01-08,30,52,5,0.16666666666666666
2024-01-08,30,53,5,0.16666666666666666
2024-01-08,30,54,5,0.16666666666666666
2024-01-08,30,55,5,0.16666666666666666
2024-01-08,30,56,5,0.16666666666666666
2024-01-08,30,57,5,0.16666666666666666
2024-01-08,30,58,4,0.13333333333333333
2024-01-08,30,59,4,0.13333333333333333
2024-01-08,30,60,4,0.13333333333333333
2024-01-15,59,0,59,1.0
2024-01-15,59,1,53,0.8983050847457628
2024-01-15,59,2,53,0.8983050847457628
2024-01-15,59,3,51,0.864406779661017
2024-01-15,59,4,50,0.847457627118644
2024-01-15,59,5,49,0.8305084745762712
2024-01-15,59,6,49,0.8305084745762712
2024-01-15,59,7,49,0.8305084745762712
2024-01-15,59,8,47,0.7966101694915254
2024-01-15,59,9,47,0.7966101694915254
2024-01-15,59,10,47,0.7966101694915254
2024-01-15,59,11,46,0.7796610169491526
2024-01-15,59,12,45,0.7627118644067796
2024-01-15,59,13,41,0.6949152542372882
2024-01-15,59,14,39,0.6610169491525424
2024-01-15,59,15,38,0.6440677966101694
2024-01-15,59,16,38,0.6440677966101694
2024-01-15,59,17,38,0.6440677966101694
2024-01-15,59,18,38,0.6440677966101694
2024-01-15,59,19,38,0.6440677966101694
2024-01-15,59,20,38,0.6440677966101694
2024-01-15,59,21,37,0.6271186440677966
2024-01-15,59,22,37,0.6271186440677966
2024-01-15,59,23,36,0.6101694915254238
2024-01-15,59,24,34,0.576271186440678
2024-01-15,59,25,34,0.576271186440678
2024-01-15,59,26,33,0.559322033898305
2024-01-15,59,27,33,0.559322033898305
2024-01-15,59,28,33,0.559322033898305
2024-01-15,59,29,33,0.559322033898305
2024-01-15,59,30,33,0.559322033898305
2024-01-15,59,31,33,0.559322033898305
2024-01-15,59,32,33,0.559322033898305
2024-01-15,59,33,32,0.5423728813559322
2024-01-15,59,34,32,0.5423728813559322
2024-01-15,59,35,32,0.5423728813559322
2024-01-15,59,36,32,0.5423728813559322
2024-01-15,59,37,32,0.5423728813559322
2024-01-15,59,38,31,0.5254237288135594
2024-01-15,59,39,29,0.4915254237288136
2024-01-15,59,40,29,0.4915254237288136
2024-01-15,59,41,29,0.4915254237288136
2024-01-15,59,42,28,0.4745762711864407
2024-01-15,59,43,28,0.4745762711864407
2024-01-15,59,44,27,0.4576271186440678
2024-01-15,59,45,27,0.4576271186440678
2024-01-15,59,46,27,0.4576271186440678
2024-01-15,59,47,26,0.4406779661016949
2024-01-15,59,48,26,0.4406779661016949
2024-01-15,59,49,26,0.4406779661016949
2024-01-15,59,50,26,0.4406779661016949
2024-01-15,59,51,26,0.4406779661016949
2024-01-15,59,52,26,0.4406779661016949
2024-01-15,59,53,24,0.4067796610169492
2024-01-15,59,54,23,0.3898305084745763
2024-01-15,59,55,22,0.3728813559322034
2024-01-15,59,56,21,0.3559322033898305
2024-01-15,59,57,21,0.3559322033898305
2024-01-15,59,58,21,0.3559322033898305
2024-01-15,59,59,21,0.3559322033898305
2024-01-15,59,60,21,0.3559322033898305
