cohort_age,eligible_users,retained_users,rolling_retention,ci_low,ci_high
0,3709,3709,1.0,0.9989653207936475,0.9999999999999998
1,3709,3075,0.829064437853869,0.8166100383776923,0.8408378850672508
2,3709,3003,0.8096521973577784,0.7966999908574722,0.8219636224784695
3,3709,2923,0.788083041251011,0.7746362522046781,0.8009336832323735
4,3709,2843,0.7665138851442437,0.7526273631672284,0.779848894370933
5,3709,2770,0.7468320301968185,0.7325874957087627,0.7605657807466616
6,3709,2693,0.726071717444055,0.7114905518081444,0.7401850596695981
7,3709,2630,0.7090860070099757,0.6942585929150957,0.7234807472172706
8,3709,2547,0.6867080075492047,0.6715937547159302,0.7014358945963378
9,3709,2483,0.6694526826637908,0.6541449199787481,0.6844097870144077
10,3709,2427,0.6543542733890536,0.6388960752679242,0.6694930571960083
11,3709,2370,0.6389862496629819,0.6233924143600333,0.65429247260094
12,3709,2325,0.6268535993529253,0.6111648036702392,0.6422798894726086
13,3709,2266,0.6109463467241845,0.5951488548055411,0.6265142508868752
14,3709,2210,0.5958479374494473,0.5799635124109641,0.6115340187522291
15,3709,2156,0.5812887570773794,0.5653351862163165,0.5970741123651258
16,3709,2089,0.5632245888379617,0.5472049212186587,0.579113422122463
17,3709,2037,0.549204637368563,0.5331484979738746,0.5651589547329686
18,3709,1981,0.5341062280938258,0.5180251461184489,0.5501167320591711
19,3709,1934,0.5214343488811001,0.5053437260599452,0.5374806163520771
20,3709,1881,0.5071447829603667,0.4910558159140071,0.5232189648900002
21,3709,1844,0.4971690482609868,0.48108902001211057,0.5132549347636599
22,3709,1796,0.4842275545969264,0.46816865486791537,0.5003190931685211
23,3709,1760,0.4745214343488811,0.45848545460123225,0.49061013838070366
24,3709,1718,0.46319762739282827,0.4471960717911397,0.4792753402938789
25,3709,1664,0.44863844702076033,0.4326933669581262,0.4646898125451415
26,3709,1622,0.4373146400647075,0.4214230497105991,0.45333594889575135
27,3709,1586,0.42760851981666215,0.4117694923996858,0.443597351152164
28,3708,1547,0.41720604099244873,0.4014281747723926,0.43315528374588025
29,3705,1512,0.4080971659919028,0.39237435045404484,0.42401036654222696
30,3705,1481,0.3997300944669366,0.38406862371221295,0.4155992833776989
31,3700,1449,0.3916216216216216,0.376013717984222,0.4074543439328967
32,3694,1409,0.38142934488359503,0.36589593909294127,0.39720911116123947
33,3686,1377,0.3735756918068367,0.3580977344125481,0.38931689715320816
34,3682,1332,0.3617599130907116,0.3463905329199167,0.37741745709245944
35,3680,1307,0.3551630434782609,0.3398592191807772,0.37076894680768446
36,3674,1261,0.3432226456178552,0.32804089300715006,0.3587319141741054
37,3666,1229,0.3352427714129842,0.3201405870742628,0.3506898923665937
38,3658,1187,0.32449425915800983,0.30951289431915885,0.33984386649758436
39,3652,1155,0.31626506024096385,0.30138277766654686,0.3315334843509322
40,3642,1124,0.3086216364634816,0.29382756375858665,0.3238190174861938
41,3635,1083,0.2979367262723521,0.2832883179190843,0.31301177934263763
42,3620,1051,0.29033149171270717,0.2757730451798654,0.30533447342690806
43,3606,1018,0.2823072656683306,0.26785317740436754,0.2972246919403706
44,3595,993,0.27621696801112655,0.26184544522338,0.29106624725010927
45,3582,970,0.27079843662758235,0.25649712540703673,0.2855908463539021
46,3573,943,0.26392387349566193,0.24973055223982155,0.27862429579146963
47,3554,910,0.25604952166572875,0.24196893760507454,0.27065691960003535
48,3544,879,0.24802483069977427,0.23408409442087386,0.2625112439955876
49,3534,857,0.24250141482739107,0.22865499544832796,0.2569070489348915
50,3521,830,0.23572848622550413,0.22200103009129563,0.2500319826829521
51,3506,806,0.22989161437535655,0.21626377624228857,0.24411073182667967
52,3495,782,0.22374821173104434,0.21023878861637943,0.23786426354808546
53,3486,755,0.21658060814687322,0.20322244444365983,0.23056274511909858
54,3470,734,0.21152737752161382,0.19826177071753362,0.22543100790541795
55,3459,718,0.20757444348077478,0.19438649612624487,0.2214112117446551
56,3451,699,0.20254998551144596,0.1894749548094091,0.21628651338641205
57,3442,686,0.19930273097036608,0.1862954904509235,0.21298043680005632
58,3425,674,0.19678832116788322,0.18381618069624903,0.21043988525908705
59,3413,653,0.1913272780544975,0.17848055664060777,0.20486808907946305
60,3403,638,0.1874816338524831,0.17472311900855658,0.20094494844723587
