cohort_week,eligible_d1,classic_d1,rolling_d1,eligible_d7,classic_d7,rolling_d7,eligible_d30,classic_d30,rolling_d30
2024-01-01,14,0.142857,0.928571,14,0.071429,0.928571,14,0.214286,0.571429
2024-01-08,30,0.266667,0.866667,30,0.2,0.766667,30,0.033333,0.266667
2024-01-15,59,0.118644,0.898305,59,0.220339,0.830508,59,0.084746,0.559322
2024-01-22,70,0.171429,0.757143,70,0.114286,0.685714,70,0.057143,0.428571
2024-01-29,89,0.202247,0.764045,89,0.11236,0.606742,89,0.022472,0.382022
2024-02-05,66,0.151515,0.80303,66,0.19697,0.772727,66,0.151515,0.454545
2024-02-12,73,0.205479,0.821918,73,0.164384,0.739726,73,0.041096,0.438356
2024-02-19,75,0.293333,0.88,75,0.24,0.786667,75,0.066667,0.386667
2024-02-26,79,0.151899,0.78481,79,0.151899,0.670886,79,0.025316,0.35443
2024-03-04,89,0.269663,0.898876,89,0.157303,0.797753,89,0.05618,0.438202
2024-03-11,92,0.173913,0.869565,92,0.173913,0.728261,92,0.065217,0.5
2024-03-18,80,0.175,0.85,80,0.1875,0.7375,80,0.075,0.3875
2024-03-25,87,0.218391,0.793103,87,0.16092,0.678161,87,0.126437,0.298851
2024-04-01,78,0.282051,0.871795,78,0.115385,0.692308,78,0.128205,0.423077
2024-04-08,97,0.195876,0.793814,97,0.134021,0.670103,97,0.061856,0.402062
2024-04-15,81,0.197531,0.814815,81,0.135802,0.666667,81,0.123457,0.419753
2024-04-22,63,0.190476,0.84127,63,0.253968,0.730159,63,0.031746,0.285714
2024-04-29,69,0.15942,0.826087,69,0.15942,0.695652,69,0.101449,0.492754
2024-05-06,102,0.205882,0.843137,102,0.107843,0.686275,102,0.019608,0.372549
2024-05-13,71,0.211268,0.802817,71,0.197183,0.676056,71,0.042254,0.366197
2024-05-20,82,0.256098,0.804878,82,0.170732,0.719512,82,0.073171,0.402439
2024-05-27,89,0.191011,0.876404,89,0.235955,0.764045,89,0.123596,0.505618
2024-06-03,80,0.15,0.8125,80,0.2125,0.7375,80,0.075,0.4125
2024-06-10,71,0.211268,0.887324,71,0.211268,0.690141,71,0.056338,0.380282
2024-06-17,97,0.164948,0.814433,97,0.14433,0.71134,97,0.051546,0.474227
2024-06-24,76,0.197368,0.815789,76,0.25,0.710526,76,0.105263,0.434211
2024-07-01,77,0.168831,0.805195,77,0.116883,0.688312,77,0.064935,0.376623
2024-07-08,73,0.150685,0.849315,73,0.164384,0.780822,73,0.027397,0.438356
2024-07-15,76,0.144737,0.776316,76,0.144737,0.657895,76,0.039474,0.355263
2024-07-22,79,0.126582,0.759494,79,0.177215,0.607595,79,0.063291,0.316456
2024-07-29,86,0.244186,0.802326,86,0.267442,0.697674,86,0.023256,0.44186
2024-08-05,83,0.156627,0.843373,83,0.13253,0.710843,83,0.084337,0.46988
2024-08-12,92,0.163043,0.858696,92,0.206522,0.706522,92,0.032609,0.347826
2024-08-19,86,0.232558,0.767442,86,0.127907,0.686047,86,0.069767,0.44186
2024-08-26,106,0.226415,0.877358,106,0.188679,0.735849,106,0.056604,0.40566
2024-09-02,80,0.2,0.775,80,0.1375,0.7125,80,0.0625,0.3625
2024-09-09,78,0.179487,0.782051,78,0.205128,0.641026,78,0.064103,0.410256
2024-09-16,85,0.211765,0.835294,85,0.152941,0.682353,85,0.047059,0.376471
2024-09-23,74,0.202703,0.878378,74,0.189189,0.743243,74,0.135135,0.445946
2024-09-30,78,0.205128,0.884615,78,0.205128,0.75641,78,0.025641,0.397436
2024-10-07,73,0.136986,0.808219,73,0.164384,0.69863,73,0.082192,0.493151
2024-10-14,84,0.154762,0.761905,84,0.154762,0.666667,84,0.083333,0.369048
2024-10-21,78,0.192308,0.858974,78,0.217949,0.769231,78,0.038462,0.448718
2024-10-28,78,0.25641,0.858974,78,0.141026,0.628205,78,0.025641,0.230769
2024-11-04,81,0.246914,0.938272,81,0.17284,0.790123,81,0.061728,0.382716
2024-11-11,89,0.224719,0.786517,89,0.123596,0.640449,89,0.05618,0.382022
2024-11-18,71,0.211268,0.84507,71,0.169014,0.732394,71,0.042254,0.295775
2024-11-25,39,0.205128,0.846154,39,0.179487,0.692308,39,0.0,0.051282
2024-12-02,4,0.25,0.75,4,0.25,0.75,0,,
